tran_TransformerTime_hf_sample_L2_wt_1e-4_focal1.00
===================================================

Run 1:
  Epoch 17: Train=0.2243, Val=0.3104, Test=0.2541, Dur=1.10s
  Epoch 18: Train=0.2228, Val=0.3128, Test=0.2548, Dur=1.12s
  Epoch 19: Train=0.2243, Val=0.3172, Test=0.2574, Dur=1.11s
  Epoch 20: Train=0.2089, Val=0.3202, Test=0.2622, Dur=1.11s
  Epoch 21: Train=0.2127, Val=0.3218, Test=0.2606, Dur=1.10s
  Epoch 22: Train=0.2114, Val=0.3238, Test=0.2598, Dur=1.12s
  Epoch 23: Train=0.2062, Val=0.3193, Test=0.2584, Dur=1.13s
  Epoch 24: Train=0.1979, Val=0.3200, Test=0.2550, Dur=1.11s
  Epoch 25: Train=0.1974, Val=0.3228, Test=0.2564, Dur=1.09s
  Epoch 26: Train=0.1928, Val=0.3269, Test=0.2613, Dur=1.10s
  Epoch 27: Train=0.1946, Val=0.3406, Test=0.2633, Dur=1.10s

Run 4:
  Epoch  0: Train=0.3422, Val=0.3736, Test=0.3056, Dur=1.12s
  Epoch  1: Train=0.3767, Val=0.2824, Test=0.2541, Dur=1.11s
  Epoch  2: Train=0.3309, Val=0.2956, Test=0.2482, Dur=1.10s
  Epoch  3: Train=0.3058, Val=0.2962, Test=0.2487, Dur=1.09s
  Epoch  4: Train=0.3280, Val=0.2942, Test=0.2675, Dur=1.08s
  Epoch  5: Train=0.2749, Val=0.2966, Test=0.2479, Dur=1.13s
  Epoch  6: Train=0.2831, Val=0.3082, Test=0.2535, Dur=1.11s
  Epoch  7: Train=0.2693, Val=0.2960, Test=0.2607, Dur=1.12s
  Epoch  8: Train=0.2603, Val=0.2937, Test=0.2535, Dur=1.12s
  Epoch  9: Train=0.3148, Val=0.3336, Test=0.2685, Dur=1.13s
  Epoch 10: Train=0.2618, Val=0.3120, Test=0.2791, Dur=1.11s
  Epoch 11: Train=0.2658, Val=0.3037, Test=0.2649, Dur=1.12s
